,nneg,npos,FIPS,acteur,langue,mois,SHORT_NAME,tot_art
54237,0,1,IR,COPGOV,ita,1,Iran,1
54238,0,1,IR,BGD,ben,1,Iran,1
54239,0,1,IR,AFR,axe,1,Iran,1
54240,0,5,IR,USAGOVELI,eng,1,Iran,5
54241,0,3,IR,ITA,ara,1,Iran,3
54242,0,40,IR,MOS,ara,1,Iran,40
54243,0,1,IR,NGOHRIAMN,fas,1,Iran,1
54244,0,32,IR,OPP,tur,1,Iran,32
54245,0,1,IR,IGOUNOIAEGOV,eng,1,Iran,1
54246,0,1,IR,ISRGOV,deu,1,Iran,1
54247,0,103,IR,GOVMIL,eng,1,Iran,103
54248,0,1,IR,che,spa,1,Iran,1
54249,0,1,IR,IRQMIL,spa,1,Iran,1
54250,0,1,IR,IRQ,urd,1,Iran,1
54251,0,1,IR,MIL,ben,1,Iran,1
54252,0,1,IR,IDNLEG,ara,1,Iran,1
54253,0,1,IR,HUNGOV,ron,1,Iran,1
54254,0,1,IR,CZE,bul,1,Iran,1
54255,0,1,IR,GOVBUS,ara,1,Iran,1
54256,0,6,IR,DEU,ell,1,Iran,6
54257,0,30,IR,YEM,eng,1,Iran,30
54258,0,1,IR,SYR,ita,1,Iran,1
54259,0,1,IR,PAK,urd,1,Iran,1
54260,0,1,IR,MED,heb,1,Iran,1
54261,0,6,IR,ISRMIL,eng,1,Iran,6
54262,0,1,IR,IRNLEG,nor,1,Iran,1
54263,0,1,IR,JORELIGOV,hye,1,Iran,1
54264,0,42,IR,CVL,hye,1,Iran,42
54265,0,6,IR,BEL,spa,1,Iran,6
54266,0,2,IR,MOSSHI,fas,1,Iran,2
54267,0,1,IR,GBRGOV,fas,1,Iran,1
54268,0,1,IR,IRNMED,nor,1,Iran,1
54269,0,1,IR,EUR,slk,1,Iran,1
54270,0,1,IR,MOSSHI300GOV,ara,1,Iran,1
54271,0,14,IR,INT,ara,1,Iran,14
54272,0,1,IR,IRNSPY,fra,1,Iran,1
54273,0,1,IR,FRALEG,ara,1,Iran,1
54274,0,1,IR,IRNMED,srp,1,Iran,1
54275,0,1,IR,COPGOV,hun,1,Iran,1
54276,0,6,IR,MED,ita,1,Iran,6
54277,0,1,IR,MED,nld,1,Iran,1
54278,0,4,IR,OPP,fin,1,Iran,4
54279,0,10,IR,IRNLEG,tur,1,Iran,10
54280,0,1,IR,FRAGOV,ell,1,Iran,1
54281,0,1,IR,JUDGOV,ara,1,Iran,1
54282,0,1,IR,idg,spa,1,Iran,1
54283,0,8,IR,IRNJUD,ara,1,Iran,8
